City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,Hasaki,35.7333,140.8333,14.05,56,79,9.97,JP,1696973606
281,Sosnovo-Ozerskoye,52.5249,111.5418,3.67,83,88,1.74,RU,1696973607
282,Lobujya,27.95,86.8167,-6.23,76,17,1.41,NP,1696973607
283,Crane,31.3974,-102.3501,28.78,33,67,3.93,US,1696973607
284,New Plymouth,-39.0667,174.0833,11.29,65,97,5.5,NZ,1696973321
285,Hadibu,12.65,54.0333,26.59,83,76,2.21,YE,1696973608
286,Acaraú,-2.8856,-40.12,26.11,79,0,8.66,BR,1696973608
287,Turan,16.0678,108.2208,24.99,94,75,0.51,VN,1696973608
288,Bonthe,7.5264,-12.505,25.81,88,98,2.6,SL,1696973609
289,Ahmetli,38.5196,27.9387,15.7,67,3,0.93,TR,1696973609
290,Magadan,59.5667,150.8,-1.21,87,100,2.68,RU,1696973609
291,Sechura,-5.5569,-80.8222,25.89,59,45,7.03,PE,1696973610
292,Freetown,8.484,-13.2299,25.83,87,100,3.12,SL,1696973610
293,Mount Gambier,-37.8333,140.7667,14.01,41,4,4.83,AU,1696973610
294,Tazovsky,67.4667,78.7,1.91,97,100,9.71,RU,1696973611
295,Gebeit,21.0667,36.3167,27.3,41,0,0.93,SD,1696973611
296,Warman,52.3168,-106.5679,20.61,40,75,8.23,CA,1696973434
297,Luganville,-15.5333,167.1667,25.1,72,99,5.62,VU,1696973612
298,Beneditinos,-5.45,-42.3667,32.34,27,11,1.54,BR,1696973612
299,Ålesund,62.4723,6.1549,13.51,88,75,11.83,NO,1696973612
300,Agat Village,13.3886,144.6585,28.53,84,0,5.14,GU,1696973613
301,Guadarrama,40.6727,-4.0895,21.64,47,0,0.95,ES,1696973613
302,Bozoum,6.3193,16.3799,20.31,96,84,1.44,CF,1696973613
303,Kapuskasing,49.4169,-82.4331,6.05,81,100,2.57,CA,1696973613
304,Daejeon,36.3333,127.4167,9.97,79,47,1.54,KR,1696973418
305,Hongseong,36.6009,126.665,13.44,78,74,1.67,KR,1696973614
306,Sirte,31.2089,16.5887,23.16,65,0,2.32,LY,1696973614
307,Dawson Creek,55.7666,-120.2362,14.8,63,75,1.03,CA,1696973615
308,Chesma,53.8111,60.6533,2.58,86,71,4.3,RU,1696973615
309,Chake Chake,-5.2459,39.7666,23.91,86,5,2.91,TZ,1696973615
310,Dingwall,57.5953,-4.4272,10.04,78,68,6.6,GB,1696973615
311,Ormara,25.2088,64.6357,27.03,86,4,3.67,PK,1696973616
312,Vorkuta,67.5,64.0,1.37,82,100,5.63,RU,1696973616
313,Aykhal,66.0,111.5,5.59,92,100,13.41,RU,1696973616
314,Ryōtsu-minato,38.0833,138.4333,17.26,65,67,4.42,JP,1696973617
315,Port Elizabeth,-33.918,25.5701,17.16,96,100,6.17,ZA,1696973617
316,Mossamedes,-15.1961,12.1522,19.37,86,98,0.59,AO,1696973617
317,Tanūmah,27.1,44.1333,27.38,15,0,5.59,SA,1696973618
318,Hilo,19.7297,-155.09,26.72,84,100,3.6,US,1696973618
319,Constanța,44.1833,28.65,8.38,46,24,4.2,RO,1696973618
320,Williams Lake,52.1415,-122.1445,15.59,41,75,6.17,CA,1696973408
321,Swift Current,50.2834,-107.8014,24.45,29,0,10.8,CA,1696973398
322,Happy Valley-Goose Bay,53.3168,-60.3315,10.17,93,100,3.09,CA,1696973412
323,Norrtälje,59.758,18.705,10.01,90,100,7.01,SE,1696973620
324,Keflavik,64.0049,-22.5624,4.24,65,75,13.89,IS,1696973434
325,Steamboat Springs,40.485,-106.8317,19.31,21,75,6.17,US,1696973620
326,Caleta de Carquín,-11.0925,-77.6267,20.58,78,32,6.3,PE,1696973621
327,Huicungo,-7.2833,-76.8,31.96,45,22,1.27,PE,1696973621
328,Akureyri,65.6835,-18.0878,1.96,87,75,13.89,IS,1696973621
329,Flin Flon,54.7682,-101.865,12.91,58,0,3.6,CA,1696973621
330,Kavaratti,10.5669,72.642,27.84,62,83,2.1,IN,1696973622
331,Tosontsengel,48.7567,98.2839,0.77,92,7,1.06,MN,1696973622
332,Sydney Mines,46.2367,-60.2177,14.0,94,75,5.14,CA,1696973622
333,Ust'-Kut,56.7938,105.7672,5.8,93,45,2.24,RU,1696973623
334,San Vicente de Cañete,-13.0751,-76.3835,19.93,78,41,3.88,PE,1696973623
335,Kargil,34.5667,76.1,3.67,56,1,1.69,IN,1696973623
336,Camaná,-16.6228,-72.7111,19.26,80,90,4.13,PE,1696973623
337,Molchanovo,57.5817,83.7692,13.88,67,100,4.65,RU,1696973624
338,Puerto Gaitán,4.3133,-72.0816,26.11,85,98,0.72,CO,1696973596
339,Gadzhiyevo,69.2551,33.3362,-1.0,85,13,2.61,RU,1696973624
340,Beau Vallon,-20.4189,57.6953,21.79,88,40,1.54,MU,1696973624
341,Mount Pearl,47.5166,-52.7813,11.64,98,100,6.17,CA,1696973625
342,Pingliang,35.5392,106.6861,10.69,84,100,0.94,CN,1696973625
343,Corner Brook,48.9667,-57.9484,13.09,94,100,4.53,CA,1696973609
344,Sandnessjøen,66.0217,12.6316,8.06,76,100,4.63,NO,1696973626
345,La Passe,45.5549,-0.8967,18.13,73,0,0.91,FR,1696973626
346,La Trinité,14.7376,-60.9629,30.03,70,20,4.63,MQ,1696973626
347,Kiunga,-6.1219,141.2906,23.49,98,99,1.32,PG,1696973627
348,Suomussalmi,64.8869,28.9078,0.22,97,100,2.47,FI,1696973627
349,Callao,-12.0667,-77.15,21.16,68,75,3.09,PE,1696973627
350,Saldanha,-33.0117,17.9442,15.77,77,0,3.28,ZA,1696973628
351,Viveiro,43.6623,-7.5934,20.88,55,31,1.87,ES,1696973628
352,Erekli,40.97,27.9553,14.05,76,0,5.14,TR,1696973628
353,Bikenibeu Village,1.3673,173.1241,30.98,74,75,2.06,KI,1696973628
354,Iquitos,-3.7481,-73.2472,27.02,69,75,4.63,PE,1696973501
